Number,Age,Age,Gender,MaritalStatus,EducationLevel,EducationLevel,EducationBackground,JobRole,EnvironmentSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,RelationshipSatisfaction,WorkLifeBalance,WorkLifeBalance,TotalWorkExperienceInYears,TotalWorkExperienceInYears,ExperienceYearsInCurrentRole,ExperienceYearsInCurrentRole,PerformanceRating,PerformanceResult
E1001520,42,Middle-aged labor group,Female,Married,5,Doctor,Medical,Research Director,1,Low,3,High,3,Better,20,Gold range,0,no exps,3,Meet Expectation
E1001522,27,Main labor group,Male,Married,3,Bachelor,Life Sciences,Manager R&D,1,Low,4,Very High,2,Good,9,Silver range,7,Silver range,2,Needs Improvement
E1001523,54,Old labor group,Female,Divorced,4,Master,Life Sciences,Manufacturing Director,4,Very High,1,Low,1,Bad,33,Diamond range,4,Copper range,3,Meet Expectation
E1001524,44,Middle-aged labor group,Female,Married,1,Below College,Life Sciences,Manager R&D,1,Low,4,Very High,3,Better,10,Silver range,5,Copper range,2,Needs Improvement
E1001526,19,Young labor group,Female,Single,3,Bachelor,Medical,Research Scientist,1,Low,2,Medium,4,Best,1,Copper range,1,Copper range,4,Exceed Expectation
E1001528,54,Old labor group,Male,Married,3,Bachelor,Life Sciences,Research Director,4,Very High,1,Low,3,Better,36,Diamond range,9,Silver range,3,Meet Expectation
E1001529,31,Main labor group,Male,Married,2,College,Medical,Manager R&D,3,High,4,Very High,2,Good,6,Silver range,5,Copper range,3,Meet Expectation
E1001533,43,Middle-aged labor group,Male,Married,3,Bachelor,Life Sciences,Research Director,3,High,2,Medium,3,Better,25,Diamond range,7,Silver range,3,Meet Expectation
E1001534,49,Middle-aged labor group,Male,Married,2,College,Medical,Manager R&D,1,Low,3,High,4,Best,23,Diamond range,0,no exps,3,Meet Expectation
E1001535,36,Main labor group,Male,Married,3,Bachelor,Technical Degree,Research Scientist,3,High,3,High,2,Good,12,Gold range,10,Silver range,3,Meet Expectation
E1001536,48,Middle-aged labor group,Male,Single,2,College,Technical Degree,Laboratory Technician,4,Very High,3,High,2,Good,7,Silver range,0,no exps,3,Meet Expectation
E1001538,29,Main labor group,Male,Divorced,3,Bachelor,Life Sciences,Manager R&D,3,High,2,Medium,3,Better,6,Silver range,0,no exps,3,Meet Expectation
E1001541,48,Middle-aged labor group,Male,Single,3,Bachelor,Life Sciences,Research Director,4,Very High,3,High,4,Best,25,Diamond range,0,no exps,4,Exceed Expectation
E1001542,29,Main labor group,Female,Divorced,3,Bachelor,Life Sciences,Research Director,4,Very High,2,Medium,2,Good,9,Silver range,7,Silver range,3,Meet Expectation
E1001545,44,Middle-aged labor group,Male,Married,3,Bachelor,Marketing,Manager,2,Medium,3,High,3,Better,26,Diamond range,9,Silver range,2,Needs Improvement
E1001548,23,Young labor group,Male,Married,2,College,Life Sciences,Research Scientist,4,Very High,4,Very High,3,Better,1,Copper range,0,no exps,4,Exceed Expectation
E1001553,26,Main labor group,Male,Single,2,College,Life Sciences,Research Scientist,3,High,2,Medium,2,Good,8,Silver range,5,Copper range,4,Exceed Expectation
E1001555,45,Middle-aged labor group,Female,Single,3,Bachelor,Marketing,Manager,1,Low,1,Low,3,Better,26,Diamond range,10,Silver range,2,Needs Improvement
E1001556,55,Old labor group,Male,Divorced,1,Below College,Medical,Healthcare Representative,4,Very High,4,Very High,3,Better,34,Diamond range,9,Silver range,3,Meet Expectation
E1001557,21,Young labor group,Female,Single,2,College,Life Sciences,Laboratory Technician,1,Low,3,High,1,Bad,2,Copper range,2,Copper range,2,Needs Improvement
E1001558,46,Middle-aged labor group,Female,Married,2,College,Marketing,Manager,4,Very High,3,High,3,Better,26,Diamond range,4,Copper range,3,Meet Expectation
E1001559,34,Main labor group,Female,Single,3,Bachelor,Marketing,Sales Executive,3,High,4,Very High,3,Better,4,Copper range,2,Copper range,3,Meet Expectation
E1001560,51,Old labor group,Male,Divorced,3,Bachelor,Life Sciences,Manager,4,Very High,1,Low,2,Good,31,Diamond range,10,Silver range,4,Exceed Expectation
E1001561,59,Old labor group,Male,Single,4,Master,Medical,Manager R&D,4,Very High,4,Very High,2,Good,25,Diamond range,7,Silver range,3,Meet Expectation
E1001563,34,Main labor group,Female,Divorced,3,Bachelor,Medical,Laboratory Technician,3,High,3,High,4,Best,15,Gold range,8,Silver range,3,Meet Expectation
E1001564,28,Main labor group,Male,Single,4,Master,Medical,Laboratory Technician,4,Very High,3,High,2,Good,5,Copper range,2,Copper range,3,Meet Expectation
E1001566,44,Middle-aged labor group,Male,Divorced,2,College,Life Sciences,Manager R&D,3,High,4,Very High,2,Good,26,Diamond range,9,Silver range,3,Meet Expectation
E1001567,34,Main labor group,Male,Married,3,Bachelor,Life Sciences,Human Resources,3,High,4,Very High,4,Best,14,Gold range,9,Silver range,3,Meet Expectation
E1001569,35,Main labor group,Male,Married,1,Below College,Life Sciences,Research Scientist,3,High,4,Very High,3,Better,4,Copper range,2,Copper range,3,Meet Expectation
E1001570,42,Middle-aged labor group,Female,Married,4,Master,Medical,Research Scientist,2,Medium,4,Very High,3,Better,18,Gold range,0,no exps,3,Meet Expectation
E1001571,43,Middle-aged labor group,Female,Single,4,Master,Marketing,Sales Executive,4,Very High,4,Very High,4,Best,23,Diamond range,7,Silver range,3,Meet Expectation
E1001572,36,Main labor group,Female,Single,4,Master,Life Sciences,Manufacturing Director,3,High,4,Very High,3,Better,18,Gold range,14,Gold range,3,Meet Expectation
E1001574,28,Main labor group,Male,Married,3,Bachelor,Life Sciences,Laboratory Technician,4,Very High,2,Medium,3,Better,2,Copper range,2,Copper range,3,Meet Expectation
E1001575,51,Old labor group,Female,Single,2,College,Medical,Laboratory Technician,2,Medium,2,Medium,2,Good,8,Silver range,0,no exps,3,Meet Expectation
E1001576,30,Main labor group,Female,Single,2,College,Medical,Manufacturing Director,3,High,3,High,3,Better,10,Silver range,4,Copper range,3,Meet Expectation
E1001577,29,Main labor group,Female,Divorced,3,Bachelor,Technical Degree,Laboratory Technician,2,Medium,1,Low,3,Better,10,Silver range,7,Silver range,2,Needs Improvement
E1001579,28,Main labor group,Male,Single,3,Bachelor,Technical Degree,Research Scientist,4,Very High,2,Medium,2,Good,5,Copper range,2,Copper range,3,Meet Expectation
E1001581,25,Main labor group,Female,Single,3,Bachelor,Medical,Research Scientist,4,Very High,4,Very High,2,Good,2,Copper range,2,Copper range,3,Meet Expectation
E1001582,32,Main labor group,Male,Married,3,Bachelor,Medical,Sales Executive,3,High,3,High,4,Best,10,Silver range,7,Silver range,3,Meet Expectation
E1001584,45,Middle-aged labor group,Female,Single,3,Bachelor,Medical,Manager,2,Medium,3,High,3,Better,22,Diamond range,0,no exps,4,Exceed Expectation
E1001585,39,Main labor group,Female,Divorced,4,Master,Medical,Manager,3,High,4,Very High,3,Better,21,Diamond range,9,Silver range,3,Meet Expectation
E1001586,58,Old labor group,Male,Divorced,4,Master,Life Sciences,Research Scientist,1,Low,4,Very High,3,Better,2,Copper range,2,Copper range,2,Needs Improvement
E1001587,32,Main labor group,Male,Married,2,College,Life Sciences,Manager R&D,4,Very High,1,Low,3,Better,10,Silver range,4,Copper range,3,Meet Expectation
E1001590,36,Main labor group,Female,Married,4,Master,Technical Degree,Healthcare Representative,4,Very High,1,Low,3,Better,10,Silver range,7,Silver range,3,Meet Expectation
E1001592,46,Middle-aged labor group,Female,Single,2,College,Life Sciences,Human Resources,4,Very High,3,High,4,Best,10,Silver range,6,Silver range,3,Meet Expectation
E1001593,28,Main labor group,Female,Married,3,Bachelor,Life Sciences,Manager R&D,3,High,1,Low,3,Better,10,Silver range,8,Silver range,3,Meet Expectation
E1001595,50,Middle-aged labor group,Female,Married,3,Bachelor,Life Sciences,Manager R&D,4,Very High,2,Medium,3,Better,25,Diamond range,2,Copper range,3,Meet Expectation
E1001596,40,Main labor group,Male,Single,4,Master,Marketing,Sales Executive,4,Very High,3,High,3,Better,9,Silver range,4,Copper range,3,Meet Expectation
E1001597,52,Old labor group,Male,Single,3,Bachelor,Life Sciences,Sales Executive,2,Medium,3,High,2,Good,10,Silver range,7,Silver range,2,Needs Improvement
E1001602,31,Main labor group,Female,Divorced,4,Master,Life Sciences,Sales Executive,4,Very High,1,Low,2,Good,10,Silver range,8,Silver range,3,Meet Expectation
E1001607,41,Middle-aged labor group,Male,Single,2,College,Medical,Sales Executive,3,High,1,Low,3,Better,19,Gold range,2,Copper range,3,Meet Expectation
E1001614,55,Old labor group,Female,Married,2,College,Medical,Manager,4,Very High,4,Very High,3,Better,23,Diamond range,9,Silver range,3,Meet Expectation
E1001616,56,Old labor group,Male,Single,4,Master,Life Sciences,Manager,4,Very High,1,Low,3,Better,36,Diamond range,3,Copper range,3,Meet Expectation
E1001618,40,Main labor group,Male,Divorced,2,College,Life Sciences,Research Scientist,3,High,2,Medium,3,Better,6,Silver range,2,Copper range,3,Meet Expectation
E1001622,34,Main labor group,Male,Divorced,3,Bachelor,Life Sciences,Healthcare Representative,4,Very High,4,Very High,2,Good,10,Silver range,7,Silver range,3,Meet Expectation
E1001627,41,Middle-aged labor group,Female,Divorced,3,Bachelor,Marketing,Sales Executive,3,High,4,Very High,3,Better,10,Silver range,3,Copper range,3,Meet Expectation
E1001628,35,Main labor group,Male,Single,4,Master,Life Sciences,Research Scientist,3,High,2,Medium,3,Better,9,Silver range,6,Silver range,3,Meet Expectation
E1001630,51,Old labor group,Male,Divorced,3,Bachelor,Life Sciences,Manager,3,High,2,Medium,3,Better,33,Diamond range,9,Silver range,3,Meet Expectation
E1001633,38,Main labor group,Female,Divorced,2,College,Life Sciences,Sales Executive,2,Medium,4,Very High,3,Better,11,Gold range,7,Silver range,2,Needs Improvement
E1001634,34,Main labor group,Female,Single,2,College,Medical,Sales Executive,3,High,4,Very High,4,Best,10,Silver range,8,Silver range,3,Meet Expectation
E1001636,25,Main labor group,Male,Married,1,Below College,Medical,Laboratory Technician,4,Very High,3,High,2,Good,7,Silver range,2,Copper range,3,Meet Expectation
E1001638,58,Old labor group,Female,Married,4,Master,Medical,Manufacturing Director,3,High,4,Very High,2,Good,31,Diamond range,9,Silver range,3,Meet Expectation
E1001639,40,Main labor group,Male,Married,4,Master,Life Sciences,Laboratory Technician,2,Medium,3,High,3,Better,7,Silver range,2,Copper range,3,Meet Expectation
E1001640,36,Main labor group,Female,Married,3,Bachelor,Marketing,Sales Executive,1,Low,4,Very High,2,Good,17,Gold range,7,Silver range,2,Needs Improvement
E1001641,48,Middle-aged labor group,Male,Single,3,Bachelor,Life Sciences,Manufacturing Director,4,Very High,3,High,3,Better,11,Gold range,9,Silver range,3,Meet Expectation
E1001642,27,Main labor group,Female,Married,3,Bachelor,Medical,Sales Representative,3,High,2,Medium,3,Better,5,Copper range,0,no exps,3,Meet Expectation
E1001645,51,Old labor group,Female,Single,2,College,Technical Degree,Manager R&D,4,Very High,2,Medium,2,Good,29,Diamond range,2,Copper range,3,Meet Expectation
E1001646,18,Young labor group,Female,Single,3,Bachelor,Life Sciences,Manager R&D,4,Very High,3,High,4,Best,0,no exps,0,no exps,4,Exceed Expectation
E1001647,35,Main labor group,Female,Married,3,Bachelor,Medical,Laboratory Technician,4,Very High,2,Medium,3,Better,10,Silver range,7,Silver range,3,Meet Expectation
E1001649,27,Main labor group,Male,Single,1,Below College,Life Sciences,Sales Executive,4,Very High,2,Medium,3,Better,8,Silver range,2,Copper range,4,Exceed Expectation
E1001650,55,Old labor group,Male,Single,4,Master,Marketing,Sales Executive,1,Low,3,High,2,Good,24,Diamond range,7,Silver range,2,Needs Improvement
E1001651,56,Old labor group,Male,Married,3,Bachelor,Life Sciences,Manager R&D,4,Very High,1,Low,3,Better,33,Diamond range,16,Gold range,3,Meet Expectation
E1001652,34,Main labor group,Female,Divorced,1,Below College,Technical Degree,Research Scientist,1,Low,3,High,3,Better,5,Copper range,4,Copper range,3,Meet Expectation
E1001653,40,Main labor group,Female,Divorced,1,Below College,Medical,Manager R&D,2,Medium,2,Medium,3,Better,15,Gold range,11,Gold range,2,Needs Improvement
E1001655,34,Main labor group,Male,Married,3,Bachelor,Medical,Laboratory Technician,2,Medium,1,Low,3,Better,10,Silver range,7,Silver range,2,Needs Improvement
E1001657,31,Main labor group,Female,Single,3,Bachelor,Life Sciences,Sales Representative,3,High,3,High,4,Best,3,Copper range,0,no exps,3,Meet Expectation
E1001660,38,Main labor group,Male,Divorced,3,Bachelor,Life Sciences,Research Scientist,4,Very High,4,Very High,3,Better,4,Copper range,2,Copper range,3,Meet Expectation
E1001661,34,Main labor group,Female,Single,4,Master,Technical Degree,Healthcare Representative,3,High,4,Very High,4,Best,14,Gold range,11,Gold range,3,Meet Expectation
E1001665,28,Main labor group,Male,Married,3,Bachelor,Life Sciences,Sales Executive,3,High,3,High,3,Better,5,Copper range,3,Copper range,3,Meet Expectation
E1001668,39,Main labor group,Male,Married,4,Master,Life Sciences,Sales Executive,1,Low,4,Very High,4,Best,8,Silver range,4,Copper range,2,Needs Improvement
E1001669,51,Old labor group,Male,Married,3,Bachelor,Marketing,Sales Executive,2,Medium,2,Medium,3,Better,14,Gold range,2,Copper range,2,Needs Improvement
E1001670,41,Middle-aged labor group,Female,Divorced,3,Bachelor,Life Sciences,Manager R&D,4,Very High,1,Low,2,Good,12,Gold range,2,Copper range,3,Meet Expectation
E1001673,33,Main labor group,Male,Married,1,Below College,Life Sciences,Sales Executive,2,Medium,1,Low,4,Best,8,Silver range,4,Copper range,2,Needs Improvement
E1001674,32,Main labor group,Male,Married,1,Below College,Marketing,Sales Executive,3,High,1,Low,2,Good,4,Copper range,2,Copper range,3,Meet Expectation
E1001675,39,Main labor group,Male,Married,2,College,Life Sciences,Manager R&D,3,High,2,Medium,3,Better,13,Gold range,4,Copper range,4,Exceed Expectation
E1001677,25,Main labor group,Male,Married,1,Below College,Life Sciences,Sales Executive,1,Low,2,Medium,2,Good,6,Silver range,2,Copper range,2,Needs Improvement
E1001679,52,Old labor group,Female,Married,2,College,Medical,Manufacturing Director,4,Very High,2,Medium,2,Good,24,Diamond range,3,Copper range,3,Meet Expectation
E1001680,43,Middle-aged labor group,Female,Single,3,Bachelor,Medical,Research Scientist,1,Low,1,Low,1,Bad,20,Gold range,7,Silver range,2,Needs Improvement
E1001681,27,Main labor group,Female,Married,3,Bachelor,Marketing,Sales Executive,4,Very High,4,Very High,3,Better,6,Silver range,2,Copper range,3,Meet Expectation
E1001683,27,Main labor group,Female,Single,4,Master,Life Sciences,Research Scientist,4,Very High,4,Very High,3,Better,8,Silver range,2,Copper range,3,Meet Expectation
E1001685,26,Main labor group,Male,Single,1,Below College,Medical,Research Scientist,1,Low,4,Very High,3,Better,5,Copper range,3,Copper range,3,Meet Expectation
E1001686,42,Middle-aged labor group,Female,Married,3,Bachelor,Human Resources,Manager,3,High,3,High,3,Better,21,Diamond range,7,Silver range,3,Meet Expectation
E1001689,37,Main labor group,Female,Single,3,Bachelor,Medical,Manager R&D,1,Low,1,Low,3,Better,8,Silver range,2,Copper range,3,Meet Expectation
E1001690,35,Main labor group,Male,Single,2,College,Life Sciences,Manufacturing Director,3,High,3,High,3,Better,10,Silver range,2,Copper range,3,Meet Expectation
E1001693,25,Main labor group,Male,Married,3,Bachelor,Technical Degree,Laboratory Technician,1,Low,2,Medium,2,Good,7,Silver range,2,Copper range,3,Meet Expectation
E1001697,29,Main labor group,Male,Single,3,Bachelor,Other,Human Resources,2,Medium,1,Low,2,Good,10,Silver range,9,Silver range,3,Meet Expectation
E1001698,49,Middle-aged labor group,Male,Single,2,College,Life Sciences,Manager R&D,1,Low,1,Low,3,Better,20,Gold range,3,Copper range,3,Meet Expectation
E1001700,54,Old labor group,Female,Single,3,Bachelor,Medical,Research Director,4,Very High,4,Very High,2,Good,29,Diamond range,7,Silver range,3,Meet Expectation
E1001701,58,Old labor group,Female,Married,3,Bachelor,Medical,Manager R&D,4,Very High,3,High,3,Better,32,Diamond range,8,Silver range,4,Exceed Expectation
E1001703,36,Main labor group,Female,Single,4,Master,Marketing,Sales Executive,1,Low,4,Very High,3,Better,15,Gold range,4,Copper range,3,Meet Expectation
E1001705,31,Main labor group,Female,Single,4,Master,Life Sciences,Sales Representative,2,Medium,2,Medium,3,Better,1,Copper range,0,no exps,3,Meet Expectation
E1001706,30,Main labor group,Female,Divorced,4,Master,Marketing,Sales Executive,4,Very High,2,Medium,3,Better,8,Silver range,2,Copper range,3,Meet Expectation
E1001708,31,Main labor group,Female,Single,5,Doctor,Life Sciences,Research Director,1,Low,3,High,4,Best,9,Silver range,2,Copper range,3,Meet Expectation
E1001709,34,Main labor group,Male,Divorced,4,Master,Other,Research Scientist,4,Very High,3,High,3,Better,10,Silver range,3,Copper range,3,Meet Expectation
E1001711,31,Main labor group,Female,Single,3,Bachelor,Life Sciences,Research Scientist,1,Low,3,High,4,Best,1,Copper range,0,no exps,3,Meet Expectation
E1001712,27,Main labor group,Male,Married,1,Below College,Life Sciences,Manager R&D,2,Medium,2,Medium,4,Best,6,Silver range,0,no exps,3,Meet Expectation
E1001713,36,Main labor group,Male,Single,4,Master,Life Sciences,Laboratory Technician,1,Low,3,High,2,Good,10,Silver range,4,Copper range,2,Needs Improvement
E1001716,47,Middle-aged labor group,Male,Married,3,Bachelor,Technical Degree,Research Scientist,1,Low,3,High,2,Good,17,Gold range,5,Copper range,2,Needs Improvement
E1001717,25,Main labor group,Male,Married,2,College,Life Sciences,Sales Representative,1,Low,1,Low,3,Better,6,Silver range,2,Copper range,2,Needs Improvement
E1001718,37,Main labor group,Male,Single,2,College,Technical Degree,Manager R&D,3,High,1,Low,1,Bad,7,Silver range,5,Copper range,3,Meet Expectation
E1001719,56,Old labor group,Female,Married,2,College,Life Sciences,Manager R&D,1,Low,4,Very High,4,Best,5,Copper range,2,Copper range,5,Outstanding
E1001723,24,Young labor group,Female,Married,1,Below College,Medical,Sales Executive,4,Very High,3,High,3,Better,5,Copper range,4,Copper range,3,Meet Expectation
E1001725,34,Main labor group,Female,Married,3,Bachelor,Life Sciences,Laboratory Technician,4,Very High,1,Low,2,Good,7,Silver range,4,Copper range,3,Meet Expectation
E1001726,41,Middle-aged labor group,Male,Married,5,Doctor,Medical,Manager R&D,2,Medium,1,Low,2,Good,7,Silver range,2,Copper range,3,Meet Expectation
E1001727,40,Main labor group,Male,Divorced,4,Master,Other,Laboratory Technician,3,High,3,High,4,Best,11,Gold range,7,Silver range,3,Meet Expectation
E1001731,31,Main labor group,Male,Divorced,2,College,Life Sciences,Sales Executive,1,Low,1,Low,3,Better,13,Gold range,7,Silver range,2,Needs Improvement
E1001736,39,Main labor group,Female,Single,3,Bachelor,Life Sciences,Laboratory Technician,1,Low,2,Medium,4,Best,11,Gold range,0,no exps,4,Exceed Expectation
E1001737,31,Main labor group,Female,Single,5,Doctor,Life Sciences,Manager R&D,3,High,1,Low,3,Better,10,Silver range,8,Silver range,3,Meet Expectation
E1001738,45,Middle-aged labor group,Male,Divorced,3,Bachelor,Medical,Manager R&D,2,Medium,2,Medium,3,Better,24,Diamond range,7,Silver range,3,Meet Expectation
E1001739,31,Main labor group,Female,Single,2,College,Medical,Human Resources,4,Very High,4,Very High,3,Better,8,Silver range,2,Copper range,3,Meet Expectation
E1001743,45,Middle-aged labor group,Male,Married,3,Bachelor,Technical Degree,Manager R&D,2,Medium,4,Very High,4,Best,10,Silver range,1,Copper range,3,Meet Expectation
E1001745,34,Main labor group,Female,Married,4,Master,Technical Degree,Human Resources,1,Low,4,Very High,3,Better,2,Copper range,2,Copper range,2,Needs Improvement
E1001746,40,Main labor group,Male,Divorced,1,Below College,Medical,Research Director,4,Very High,3,High,3,Better,16,Gold range,8,Silver range,3,Meet Expectation
E1001749,44,Middle-aged labor group,Male,Single,3,Bachelor,Life Sciences,Laboratory Technician,3,High,4,Very High,3,Better,7,Silver range,2,Copper range,3,Meet Expectation
E1001751,49,Middle-aged labor group,Male,Married,4,Master,Technical Degree,Manager R&D,1,Low,2,Medium,2,Good,20,Gold range,2,Copper range,2,Needs Improvement
E1001752,40,Main labor group,Male,Divorced,3,Bachelor,Medical,Research Scientist,3,High,3,High,4,Best,8,Silver range,1,Copper range,4,Exceed Expectation
E1001753,44,Middle-aged labor group,Male,Single,3,Bachelor,Life Sciences,Manager R&D,4,Very High,3,High,2,Good,6,Silver range,2,Copper range,3,Meet Expectation
E1001755,33,Main labor group,Male,Married,3,Bachelor,Medical,Sales Executive,4,Very High,1,Low,3,Better,5,Copper range,3,Copper range,3,Meet Expectation
E1001756,34,Main labor group,Male,Single,3,Bachelor,Other,Sales Executive,4,Very High,4,Very High,3,Better,15,Gold range,9,Silver range,3,Meet Expectation
E1001757,30,Main labor group,Male,Married,1,Below College,Life Sciences,Sales Executive,4,Very High,3,High,2,Good,4,Copper range,1,Copper range,3,Meet Expectation
E1001758,42,Middle-aged labor group,Female,Single,2,College,Medical,Laboratory Technician,1,Low,3,High,3,Better,12,Gold range,9,Silver range,2,Needs Improvement
E1001759,44,Middle-aged labor group,Female,Married,5,Doctor,Marketing,Sales Executive,1,Low,3,High,2,Good,11,Gold range,0,no exps,3,Meet Expectation
E1001760,30,Main labor group,Male,Divorced,3,Bachelor,Technical Degree,Research Scientist,3,High,2,Medium,2,Good,1,Copper range,0,no exps,3,Meet Expectation
E1001761,57,Old labor group,Male,Married,2,College,Life Sciences,Research Scientist,2,Medium,1,Low,2,Good,13,Gold range,9,Silver range,2,Needs Improvement
E1001762,49,Middle-aged labor group,Male,Divorced,4,Master,Life Sciences,Manager R&D,3,High,2,Medium,3,Better,29,Diamond range,7,Silver range,3,Meet Expectation
E1001763,34,Main labor group,Male,Divorced,3,Bachelor,Medical,Research Director,2,Medium,4,Very High,2,Good,16,Gold range,8,Silver range,2,Needs Improvement
E1001764,28,Main labor group,Male,Married,3,Bachelor,Technical Degree,Sales Representative,1,Low,4,Very High,4,Best,5,Copper range,2,Copper range,2,Needs Improvement
E1001767,34,Main labor group,Female,Single,4,Master,Medical,Sales Executive,1,Low,3,High,4,Best,16,Gold range,9,Silver range,2,Needs Improvement
E1001770,35,Main labor group,Male,Married,1,Below College,Life Sciences,Sales Representative,4,Very High,1,Low,3,Better,1,Copper range,0,no exps,3,Meet Expectation
E1001773,24,Young labor group,Female,Married,2,College,Life Sciences,Sales Representative,4,Very High,3,High,3,Better,1,Copper range,0,no exps,3,Meet Expectation
E1001774,44,Middle-aged labor group,Male,Single,1,Below College,Medical,Manager R&D,2,Medium,2,Medium,2,Good,16,Gold range,2,Copper range,2,Needs Improvement
E1001775,29,Main labor group,Male,Divorced,3,Bachelor,Life Sciences,Sales Executive,3,High,3,High,3,Better,10,Silver range,7,Silver range,3,Meet Expectation
E1001779,55,Old labor group,Male,Married,4,Master,Life Sciences,Manager R&D,4,Very High,2,Medium,3,Better,4,Copper range,2,Copper range,3,Meet Expectation
E1001780,33,Main labor group,Female,Married,4,Master,Medical,Manager R&D,1,Low,4,Very High,3,Better,8,Silver range,4,Copper range,3,Meet Expectation
E1001781,47,Middle-aged labor group,Female,Married,3,Bachelor,Medical,Sales Executive,3,High,3,High,2,Good,11,Gold range,4,Copper range,3,Meet Expectation
E1001782,28,Main labor group,Male,Single,2,College,Medical,Laboratory Technician,3,High,3,High,2,Good,8,Silver range,0,no exps,3,Meet Expectation
E1001784,28,Main labor group,Male,Divorced,3,Bachelor,Life Sciences,Manager R&D,1,Low,4,Very High,1,Bad,1,Copper range,0,no exps,3,Meet Expectation
E1001785,28,Main labor group,Male,Single,3,Bachelor,Life Sciences,Sales Executive,3,High,4,Very High,3,Better,5,Copper range,2,Copper range,3,Meet Expectation
E1001787,49,Middle-aged labor group,Female,Married,2,College,Medical,Laboratory Technician,3,High,1,Low,3,Better,10,Silver range,2,Copper range,4,Exceed Expectation
E1001791,29,Main labor group,Female,Married,1,Below College,Life Sciences,Laboratory Technician,4,Very High,3,High,3,Better,4,Copper range,2,Copper range,3,Meet Expectation
E1001792,28,Main labor group,Male,Married,1,Below College,Life Sciences,Manager R&D,3,High,2,Medium,2,Good,8,Silver range,6,Silver range,3,Meet Expectation
E1001793,33,Main labor group,Male,Single,5,Doctor,Life Sciences,Healthcare Representative,4,Very High,1,Low,3,Better,14,Gold range,0,no exps,3,Meet Expectation
E1001794,32,Main labor group,Male,Single,3,Bachelor,Medical,Manager,3,High,2,Medium,4,Best,10,Silver range,2,Copper range,3,Meet Expectation
E1001798,54,Old labor group,Female,Divorced,4,Master,Medical,Manager R&D,2,Medium,1,Low,3,Better,26,Diamond range,9,Silver range,2,Needs Improvement
E1001800,29,Main labor group,Male,Single,4,Master,Technical Degree,Research Scientist,1,Low,3,High,1,Bad,11,Gold range,7,Silver range,3,Meet Expectation
E1001805,46,Middle-aged labor group,Female,Married,3,Bachelor,Life Sciences,Manager,3,High,4,Very High,4,Best,23,Diamond range,12,Gold range,3,Meet Expectation
E1001807,35,Main labor group,Female,Single,3,Bachelor,Life Sciences,Manager R&D,4,Very High,4,Very High,1,Bad,11,Gold range,8,Silver range,3,Meet Expectation
E1001811,23,Young labor group,Male,Single,1,Below College,Life Sciences,Laboratory Technician,1,Low,2,Medium,3,Better,5,Copper range,3,Copper range,2,Needs Improvement
E1001812,40,Main labor group,Male,Single,4,Master,Life Sciences,Laboratory Technician,4,Very High,2,Medium,1,Bad,15,Gold range,4,Copper range,3,Meet Expectation
E1001813,34,Main labor group,Male,Married,3,Bachelor,Technical Degree,Sales Executive,4,Very High,4,Very High,3,Better,10,Silver range,9,Silver range,3,Meet Expectation
E1001817,50,Middle-aged labor group,Male,Single,5,Doctor,Medical,Research Director,3,High,4,Very High,3,Better,32,Diamond range,6,Silver range,3,Meet Expectation
E1001820,42,Middle-aged labor group,Male,Married,3,Bachelor,Medical,Manager R&D,3,High,2,Medium,3,Better,4,Copper range,0,no exps,3,Meet Expectation
E1001821,37,Main labor group,Male,Married,3,Bachelor,Medical,Research Scientist,1,Low,1,Low,3,Better,10,Silver range,8,Silver range,2,Needs Improvement
E1001822,29,Main labor group,Female,Married,1,Below College,Other,Healthcare Representative,3,High,3,High,3,Better,9,Silver range,7,Silver range,3,Meet Expectation
E1001823,33,Main labor group,Male,Single,3,Bachelor,Life Sciences,Manufacturing Director,4,Very High,4,Very High,3,Better,5,Copper range,3,Copper range,3,Meet Expectation
E1001824,45,Middle-aged labor group,Male,Married,3,Bachelor,Technical Degree,Research Scientist,4,Very High,4,Very High,3,Better,8,Silver range,4,Copper range,4,Exceed Expectation
E1001825,42,Middle-aged labor group,Male,Married,3,Bachelor,Life Sciences,Healthcare Representative,4,Very High,3,High,1,Bad,24,Diamond range,8,Silver range,3,Meet Expectation
E1001826,40,Main labor group,Male,Married,2,College,Medical,Sales Executive,1,Low,4,Very High,4,Best,9,Silver range,4,Copper range,2,Needs Improvement
E1001827,33,Main labor group,Male,Married,4,Master,Life Sciences,Laboratory Technician,2,Medium,2,Medium,3,Better,15,Gold range,14,Gold range,2,Needs Improvement
E1001828,40,Main labor group,Male,Single,2,College,Medical,Manager,3,High,4,Very High,3,Better,21,Diamond range,7,Silver range,4,Exceed Expectation
E1001829,24,Young labor group,Male,Divorced,2,College,Technical Degree,Laboratory Technician,3,High,2,Medium,3,Better,2,Copper range,1,Copper range,3,Meet Expectation
E1001830,40,Main labor group,Male,Divorced,2,College,Life Sciences,Manager R&D,4,Very High,3,High,3,Better,8,Silver range,2,Copper range,3,Meet Expectation
E1001831,45,Middle-aged labor group,Male,Divorced,4,Master,Technical Degree,Healthcare Representative,1,Low,1,Low,3,Better,10,Silver range,8,Silver range,2,Needs Improvement
E1001832,35,Main labor group,Female,Married,4,Master,Life Sciences,Sales Representative,2,Medium,1,Low,3,Better,6,Silver range,3,Copper range,2,Needs Improvement
